Index,Movie,Reco
3616,Saved!,"['Fast Times at Ridgemont High', 'Kids', 'Spider', 'The Howling', 'A Mighty Wind', 'Sliding Doors']"
3617,The Barbarian Invasions,"['The Sweet Hereafter', 'Akeelah and the Bee', ""Sarah's Key"", 'Things We Lost in the Fire', 'Of Gods and Men', 'Joyeux Noel']"
3618,Robin and Marian,"['Deterrence', 'Light Sleeper', 'Boynton Beach Club', 'Clay Pigeons', 'Letters to God', 'Tumbleweeds']"
3619,The Forsaken,"['Slackers', ""Tim and Eric's Billion Dollar Movie"", 'Sorority Boys', ""Max Keeble's Big Move"", 'Miss March', 'The Crew']"
3620,Force 10 from Navarone,"['Extraordinary Measures', 'Random Hearts', ""The Devil's Own"", 'Hollywood Homicide', 'Patriot Games', 'Six Days Seven Nights']"
3621,UHF,"[""Angela's Ashes"", 'Henry V', 'The Lost City', 'Sunshine State', 'The Apostle', ""The Nun's Story""]"
3622,Grandma's Boy,"['Miss Potter', 'Tristram Shandy: A Cock and Bull Story', 'Hot Rod', 'Buffalo Soldiers', 'Waking Ned Devine', 'Confidence']"
3623,Slums of Beverly Hills,"['Lonesome Jim', 'A Monster in Paris', 'Mambo Italiano', 'Outside Providence', 'High Anxiety', 'Six-String Samurai']"
3624,Once Upon a Time in the West,"['Boogie Nights', 'The Blues Brothers', 'Ray', 'Dancer in the Dark', ""Rosemary's Baby"", 'Perfume: The Story of a Murderer']"
3625,Made,"['Tales from the Crypt: Demon Knight', 'O', 'Idle Hands', 'Phantasm II', 'Happy, Texas', 'Outside Providence']"
3626,Moon,"['Horrible Bosses', 'L.A. Confidential', 'Margin Call', 'Pay It Forward', 'The Usual Suspects', 'The Men Who Stare at Goats']"
3627,Keeping Up with the Steins,"['A Simple Wish', 'The Brothers Solomon', 'The Hit List', ""Max Keeble's Big Move"", 'Vamps', 'Screwed']"
3628,Sea Rex 3D: Journey to a Prehistoric World,"['Dolphins and Whales 3D: Tribes of the Ocean', 'She Done Him Wrong', 'Pink Narcissus', 'Wal-Mart: The High Cost of Low Price', 'The Call of Cthulhu', ""Pooh's Heffalump Movie""]"
3629,The Sweet Hereafter,"['The Barbarian Invasions', 'Akeelah and the Bee', ""Sarah's Key"", 'Gods and Monsters', 'Things We Lost in the Fire', 'Joyeux Noel']"
3630,Of Gods and Men,"['Things We Lost in the Fire', 'Mongol: The Rise of Genghis Khan', 'The Barbarian Invasions', 'Joyeux Noel', 'The Sweet Hereafter', 'Three Burials']"
3631,Bottle Shock,"['Adore', 'Wish I Was Here', 'Now Is Good', 'Moonlight Mile', 'A Home at the End of the World', 'Mumford']"
3632,Jekyll and Hyde... Together Again,"['Supporting Characters', 'Sugar Town', 'Circle', 'Among Giants', 'Beer League', 'Love Letters']"
3633,Heavenly Creatures,"['The Lovely Bones', 'The Lovely Bones', 'The Hobbit: The Battle of the Five Armies', '21 Grams', 'Mulholland Drive', 'The Impossible']"
3634,90 Minutes in Heaven,"[""Can't Stop the Music"", 'Sheena', 'Raise the Titanic', 'Texas Rangers', 'Sphinx', 'Meteor']"
3635,Everything Must Go,"['Semi-Pro', 'Drowning Mona', 'A Night at the Roxbury', 'Casa de mi Padre', 'Curious George', 'Land of the Lost']"
3636,Zero Effect,"['Brother', 'El crimen del padre Amaro', 'Tea with Mussolini', 'Family Plot', 'Body Double', ""L'auberge espagnole""]"
3637,The Machinist,"['Equilibrium', ""Howl's Moving Castle"", 'Out of the Furnace', '3:10 to Yuma', 'American Psycho', 'The New World']"
3638,Light Sleeper,"['Robin and Marian', 'Boynton Beach Club', 'Dream with the Fishes', 'Deterrence', 'A Funny Thing Happened on the Way to the Forum', 'Only the Strong']"
3639,Kill the Messenger,"['The East', 'The Immigrant', 'Appaloosa', 'The Duchess', 'Self/less', 'Soul Surfer']"
3640,Rabbit Hole,"['Shaolin Soccer', 'Videodrome', 'The House of the Devil', 'Ghost Town', 'Day of the Dead', 'Day of the Dead']"
3641,Party Monster,"['Outside Providence', 'Happy, Texas', 'My Fellow Americans', 'Warlock', 'The Funeral', 'Killing Zoe']"
3642,Green Room,"['The Guard', 'Anomalisa', 'Martha Marcy May Marlene', 'Robot & Frank', 'Dope', 'I Spit on Your Grave']"
3643,The Oh in Ohio,"['After', ""Breakin' All the Rules"", 'The FP', 'Peeples', 'When the Lights Went Out', 'Fear Clinic']"
3644,Atlas Shrugged: Who Is John Galt?,"['Code of Honor', 'The Frozen', 'Something Wicked', 'Bleeding Hearts', 'The Perfect Wave', 'Dwegons and Leprechauns']"
3645,Bottle Rocket,"['Welcome to the Dollhouse', 'Bloodsport', 'Repo Man', 'East Is East', 'Mean Creek', 'Kissing Jessica Stein']"
3646,Albino Alligator,"['Highway', 'Good', 'The Last Five Years', 'Criminal Activities', 'Gossip', 'Knockaround Guys']"
3647,"Gandhi, My Father","['Pocketful of Miracles', 'Silmido', 'Waterloo', 'The Horseman on the Roof', 'The Rocket: The Legend of Rocket Richard', 'Bodyguards and Assassins']"
3648,Standard Operating Procedure,"['The Second Mother', 'Pierrot le Fou', 'Trade', 'Hud', 'Molière', 'Water']"
3649,Out of the Blue,"['Dream with the Fishes', 'The Horse Boy', 'The Dress', 'Kevin Hart: Laugh at My Pain', 'Scott Walker: 30 Century Man', 'A Funny Thing Happened on the Way to the Forum']"
3650,Tucker and Dale vs Evil,"['Philomena', 'Stoker', 'Begin Again', 'Never Let Me Go', 'We Need to Talk About Kevin', 'Brooklyn']"
3651,"Lovely, Still","['Brotherly Love', '24 7: Twenty Four Seven', 'Down for Life', 'Little Nicholas', 'Love and Death on Long Island', 'Dream with the Fishes']"
3652,Tycoon,"['The Blood of Heroes', 'The Blue Bird', 'Funny Ha Ha', 'Bathing Beauty', 'Taxman', 'The Broadway Melody']"
3653,Desert Blue,"['The Big Tease', 'Safe Men', 'High Heels and Low Lifes', 'Airborne', 'Grand Theft Parsons', 'Small Apartments']"
3654,Decoys,"['The Wash', 'Exeter', 'Train', 'Motherhood', 'College', 'American Ninja 2: The Confrontation']"
3655,The Visit,"['Dracula Untold', 'The Good Dinosaur', 'Project X', 'The Muppets', 'Bad Teacher', 'The Purge']"
3656,Redacted,"['Married Life', 'Solitary Man', 'The Toxic Avenger', 'Cat People', 'Cecil B. DeMented', 'Hamlet 2']"
3657,Fascination,"['Alien Uprising', 'Rotor DR1', ""Neal 'N' Nikki"", 'Galaxina', 'Girls Gone Dead', 'Super Hybrid']"
3658,Area 51,"['Amnesiac', 'Cabin Fever', 'The Frozen', 'Impact Point', 'Foolish', 'Close Range']"
3659,Sleep Tight,"['Trust', 'Micmacs', 'Tsotsi', 'Housebound', 'Ip Man 3', 'The Last Station']"
3660,The Cottage,"['The Life Before Her Eyes', 'Welcome to Collinwood', 'The Quiet', 'Conquest of the Planet of the Apes', 'Gracie', 'CJ7']"
3661,Dead Like Me: Life After Death,"['High Heels and Low Lifes', 'The Big Tease', 'Safe Men', 'Grand Theft Parsons', 'Desert Blue', 'PCU']"
3662,Farce of the Penguins,"[""Doc Holliday's Revenge"", '3 Strikes', ""The Devil's Tomb"", 'Hansel & Gretel Get Baked', 'Blonde Ambition', 'On the Line']"
3663,Rudderless,"['Starsuckers', 'Riding Giants', 'Earth', 'Nothing But a Man', 'Fat, Sick & Nearly Dead', 'Beyond the Lights']"
3664,Henry & Me,"['Love and Other Catastrophes', 'Cavite', 'The Exploding Girl', 'On the Downlow', 'Little Big Top', 'Beer League']"
3665,We Have Your Husband,"['Yesterday Was a Lie', 'Civil Brand', 'The Marine 4: Moving Target', 'Wicked Blood', 'The Janky Promoters', 'Re-Kill']"
3666,Dying of the Light,"['Stolen', 'Kiss of Death', 'Bangkok Dangerous', 'Astro Boy', 'The Ant Bully', 'Peggy Sue Got Married']"
3667,Born of War,"['The Lovers', 'The Lovers', 'Code of Honor', 'Dwegons and Leprechauns', ""Animal Kingdom: Let's go Ape"", 'Atlas Shrugged: Who Is John Galt?']"
3668,Capricorn One,"['The 33', 'The Express', 'Catch-22', 'Peaceful Warrior', 'The Children of Huang Shi', 'The Robe']"
3669,Yoga Hosers,"[""Freddy's Dead: The Final Nightmare"", 'Don Juan DeMarco', ""The Astronaut's Wife"", ""The Astronaut's Wife"", 'The Libertine', 'Mortdecai']"
3670,Navy Seals vs. Zombies,"['Wind Walkers', '#Horror', 'Luminarias', 'Independence Daysaster', 'The Walking Deceased', 'B-Girl']"
3671,I Served the King of England,"['Zero Effect', 'Brother', 'El crimen del padre Amaro', ""Mao's Last Dancer"", 'Tea with Mussolini', 'The Cure']"
3672,Soul Kitchen,"[""Dave Chappelle's Block Party"", 'A Better Life', 'In the Company of Men', 'Sorcerer', 'Caramel', 'Being Julia']"
3673,Sling Blade,"['Open Range', 'Network', 'To Kill a Mockingbird', 'We Own the Night', 'Phenomenon', 'A Civil Action']"
3674,The Awakening,"['Quartet', 'Leap Year', 'Away We Go', 'Housebound', 'Nowhere Boy', 'Risen']"
3675,Hostel,"['AVP: Alien vs. Predator', 'Eragon', 'Napoleon Dynamite', 'Saw II', 'Scream', 'Snakes on a Plane']"
3676,Tristram Shandy: A Cock and Bull Story,"['Fido', 'Thumbsucker', 'The Joneses', 'Miss Potter', 'Buffalo Soldiers', 'Bad Words']"
3677,Take Shelter,"['The Orphanage', 'Kung Fu Hustle', 'My Name Is Khan', 'The Ghost Writer', 'Inherent Vice', 'The Gift']"
3678,Lady in White,"['Body Double', 'Ondine', 'The Hoax', 'El crimen del padre Amaro', 'Zero Effect', 'Tea with Mussolini']"
3679,Driving Lessons,"['A Walk on the Moon', 'Freeheld', 'Red Riding: In the Year of Our Lord 1974', 'The Long Riders', '24 7: Twenty Four Seven', 'Kit Kittredge: An American Girl']"
3680,Let's Kill Ward's Wife,"['3 Backyards', 'Camping sauvage', 'Snow Queen', ""I Love You, Don't Touch Me!"", 'Space Dogs', 'The Work and the Story']"
3681,The Texas Chainsaw Massacre 2,"['Because I Said So', 'Angel Eyes', 'Wanderlust', 'Saving Silverman', 'Good Luck Chuck', 'Halloween 5']"
3682,Pat Garrett & Billy the Kid,"['Loose Cannons', 'Coming Home', 'Imaginary Heroes', 'Quest for Fire', 'The Return of the Pink Panther', 'The Chumscrubber']"
3683,Only God Forgives,"['Don Jon', 'Sin City: A Dame to Kill For', 'Carrie', 'Carrie', 'A Dangerous Method', 'Pixels']"
3684,Camping sauvage,"['Snow Queen', 'The Work and the Story', ""Let's Kill Ward's Wife"", 'Space Dogs', ""I Love You, Don't Touch Me!"", 'American Hero']"
3685,Without Men,"['Legend of Kung Fu Rabbit', 'Royal Kill', 'The Walking Deceased', 'Independence Daysaster', 'AWOL-72', ""The True Story of Puss'N Boots""]"
3686,Dear Frankie,"['Chasing Mavericks', 'Shattered', 'Coriolanus', 'Machine Gun Preacher', ""Nim's Island"", 'The Game of Their Lives']"
3687,All Hat,"['Trade of Innocents', 'Enter the Dangerous Mind', 'Open Road', 'Roadside Romeo', 'Goddess of Love', 'Silent Trigger']"
3688,The Names of Love,"['L.I.E.', 'Better Luck Tomorrow', 'The Mighty', 'Human Traffic', 'Exotica', 'Heli']"
3689,Savage Grace,"['The New Guy', 'Knockaround Guys', 'Winter Passing', 'Detention', 'Gossip', 'The Beastmaster']"
3690,Out of the Blue,"['Dream with the Fishes', 'The Horse Boy', 'The Dress', 'Kevin Hart: Laugh at My Pain', 'Scott Walker: 30 Century Man', 'A Funny Thing Happened on the Way to the Forum']"
3691,Police Academy,"['Cool Runnings', 'Footloose', 'Barbershop', 'Pet Sematary', 'The Naked Gun 2½: The Smell of Fear', 'The Road to El Dorado']"
3692,The Blue Lagoon,"['War, Inc.', '200 Cigarettes', ""St. Trinian's"", 'How to Deal', ""She's the One"", ""Baby's Day Out""]"
3693,Four Weddings and a Funeral,"['Live and Let Die', 'Grosse Pointe Blank', 'WarGames', 'Boyz n the Hood', 'Highlander', 'Holes']"
3694,Fast Times at Ridgemont High,"['Saved!', 'The Squid and the Whale', 'A Mighty Wind', 'Me and You and Everyone We Know', 'Kids', 'Mean Creek']"
3695,Moby Dick,"['The Black Stallion', 'The Ultimate Gift', 'Mondays in the Sun', 'The Misfits', 'Beyond the Mat', ""Gentleman's Agreement""]"
3696,25th Hour,"['Miracle at St. Anna', 'Do the Right Thing', 'Summer of Sam', 'Bamboozled', 'Get on the Bus', 'Crooklyn']"
3697,Bound,"[""Buffalo '66"", 'You Can Count on Me', 'Monsoon Wedding', 'The Spanish Prisoner', 'Narc', 'City Island']"
3698,Requiem for a Dream,"['American History X', 'District 9', 'The Shining', ""Pan's Labyrinth"", 'The Truman Show', ""One Flew Over the Cuckoo's Nest""]"
3699,State Fair,"['The Charge of the Light Brigade', 'The Pirate', ""Alexander's Ragtime Band"", 'Une Femme Mariée', ""The Party's Over"", 'The Love Letter']"
3700,Tango,"['Ong-bak 2', 'Red Cliff', 'The Protector', 'The Alamo', 'Godzilla 2000', 'Les couloirs du temps: Les visiteurs II']"
3701,Salvador,"['Talk Radio', 'The Doors', 'Wall Street', 'W.', 'Wall Street: Money Never Sleeps', 'Any Given Sunday']"
3702,Moms' Night Out,"['Maximum Risk', 'Battle for the Planet of the Apes', 'All About the Benjamins', 'The Haunting in Connecticut 2: Ghosts of Georgia', 'Simply Irresistible', 'Invaders from Mars']"
3703,Donnie Darko,"['No Country for Old Men', 'Sin City', 'Slumdog Millionaire', 'Kill Bill: Vol. 1', '2001: A Space Odyssey', 'District 9']"
3704,Saving Private Perez,"['Desert Dancer', 'August', 'Three Kingdoms: Resurrection of the Dragon', 'The Other End of the Line', 'Gabriela', 'The Sisterhood of Night']"
3705,Character,"['All or Nothing', 'The Visual Bible: The Gospel of John', 'Ajami', 'Aimee & Jaguar', 'All That Jazz', 'As It Is in Heaven']"
3706,Spun,"['Mirrormask', 'The End of the Affair', 'The Salton Sea', 'The History Boys', 'Being Julia', 'The Dead Zone']"
3707,Life During Wartime,"['Factory Girl', 'Hamlet 2', 'Freeheld', 'Rosewater', 'We Are Your Friends', 'The Perfect Host']"
3708,Lady Vengeance,"['Fateless', 'Princess Mononoke', 'Steamboy', 'Akira', 'Godzilla 2000', 'Kabhi Alvida Naa Kehna']"
3709,Mozart's Sister,"['The City of Your Final Destination', 'Illuminata', 'The Postman Always Rings Twice', 'The Statement', 'Valley of the Wolves: Iraq', 'Faith Like Potatoes']"
3710,Mean Machine,"['London', 'Wild Card', 'War', 'Crank: High Voltage', 'The One', 'Ghosts of Mars']"
3711,Exiled,"['Trash', 'Imaginary Heroes', 'Loose Cannons', 'Coming Home', 'Flash of Genius', 'Cadillac Records']"
3712,Blackthorn,"['Brick Lane', 'Northfork', 'Catch a Fire', 'Soul Men', 'The Greatest', 'Defendor']"
3713,Lilya 4-Ever,"['Touching the Void', 'Nine Queens', 'Frenzy', 'You Can Count on Me', 'The Man Who Shot Liberty Valance', 'Cat on a Hot Tin Roof']"
3714,After.Life,"['Chloe', 'Krull', 'The Nut Job', 'Gun Shy', 'Kinsey', 'The Bounty']"
3715,One Flew Over the Cuckoo's Nest,"['Aliens', 'The Shining', 'Amélie', 'American History X', 'The Truman Show', 'The Exorcist']"
3716,R.L. Stine's Monsterville: The Cabinet of Souls,"['Zambezia', 'The Torture Chamber of Dr. Sadism', 'Happy Christmas', 'Sleepover', 'Never Again', 'Return to the Blue Lagoon']"
3717,Silent Movie,"['Blue Car', 'My Date with Drew', 'My Dog Tulip', 'Special', 'Stolen Summer', 'Groove']"
3718,Airlift,"['The Hustler', 'In Cold Blood', 'The Sea Inside', 'Hamlet', 'Tae Guk Gi: The Brotherhood of War', 'City of Life and Death']"
3719,The Sweeney,"['Sydney White', 'Beyond the Valley of the Dolls', 'Down in the Valley', 'Georgia Rule', 'Our Kind of Traitor', 'Beyond the Black Rainbow']"
3720,Sexy Beast,"['Shadow of the Vampire', 'The Jacket', 'The Cooler', 'The Thirteenth Floor', 'Sunshine Cleaning', 'The Matador']"
3721,Easy Money,"['3', 'Shinjuku Incident', 'Flash of Genius', 'Reign of Assassins', 'Bon voyage', 'The Color of Freedom']"
3722,Whale Rider,"['Go', 'The Proposition', 'Three Burials', 'Confessions of a Dangerous Mind', 'Death Sentence', 'Election']"
3723,Paa,"['Bodyguards and Assassins', 'For Greater Glory: The True Story of Cristiada', 'Hoffa', 'The Magic Flute', 'Waterloo', 'Darling Lili']"
3724,Cargo,"['Bandslam', 'Beyond the Black Rainbow', 'Underdogs', 'Northfork', 'Harlock: Space Pirate', 'Dragonslayer']"
3725,Pan,"['Pan', 'Swordfish', 'Eddie the Eagle', 'Eddie the Eagle', 'Rise of the Guardians', 'Kate & Leopold']"
3726,High School Musical,"['House on Haunted Hill', 'Thir13en Ghosts', 'A Cinderella Story', 'I Spy', 'Halloween 4: The Return of Michael Myers', 'The Wedding Date']"
3727,Love and Death on Long Island,"['Little Nicholas', 'My Beautiful Laundrette', 'Scott Walker: 30 Century Man', 'A Funny Thing Happened on the Way to the Forum', 'Dream with the Fishes', 'Out of the Blue']"
3728,Night Watch,"['Ghost Town', 'Arbitrage', 'Stir of Echoes', 'Slither', 'The Family Stone', 'Swimming Pool']"
3729,The Crying Game,"['Arthur Christmas', 'Another Year', ""Smilla's Sense of Snow"", 'Around the World in 80 Days', 'Around the World in 80 Days', 'Little Voice']"
3730,Porky's,"['Flashdance', 'Mortal Kombat', 'Casper', 'The First Wives Club', 'A Cinderella Story', 'Step Up 2: The Streets']"
3731,Survival of the Dead,"['The Darkest Hour', 'One for the Money', 'All the Boys Love Mandy Lane', 'Sinister 2', 'The Hills Have Eyes II', 'Runner Runner']"
3732,Night of the Living Dead,"['Before Sunrise', 'The Crow', 'Office Space', 'Religulous', 'An Inconvenient Truth', 'A Christmas Story']"
3733,Lost in Translation,"['The Jungle Book', 'The Jungle Book', 'Under the Skin', 'Lucy', 'We Bought a Zoo', 'Hail, Caesar!']"
3734,Annie Hall,"['Whatever Works', 'To Rome with Love', 'The Curse of the Jade Scorpion', 'Deconstructing Harry', 'Small Time Crooks', 'Hollywood Ending']"
3735,The Greatest Show on Earth,"['Duel in the Sun', 'The Lost City', 'UHF', 'Henry V', 'Sunshine State', 'As It Is in Heaven']"
3736,Exodus: Gods and Kings,"['Exodus: Gods and Kings', 'Alien', 'Black Hawk Down', 'The Counselor', 'Robin Hood', 'A Good Year']"
3737,Monster's Ball,"['Definitely, Maybe', 'Elizabethtown', 'Star Trek IV: The Voyage Home', 'The Thomas Crown Affair', 'Star Trek VI: The Undiscovered Country', 'Election']"
3738,Maggie,"['The Green Inferno', 'The Man with the Iron Fists', 'A Very Harold & Kumar 3D Christmas', 'The Possession', 'The Boy', 'Silent Hill: Revelation 3D']"
3739,Leaving Las Vegas,"['The Weather Man', 'Bad Lieutenant: Port of Call New Orleans', 'City of Angels', 'The Family Man', 'Joe', 'The Frozen Ground']"
3740,Hansel & Gretel Get Baked,"['The Jerky Boys', 'Whipped', 'Def-Con 4', ""My Baby's Daddy"", 'On the Line', 'The Virginity Hit']"
3741,The Return of the Living Dead,"['The Return of the Living Dead', 'Far from Heaven', 'Transamerica', 'Waitress', 'Hustle & Flow', 'Highlander']"
3742,The Front Page,"['The Man from Snowy River', 'Charly', 'A Shine of Rainbows', 'The Return of the Pink Panther', 'Quest for Fire', 'Pat Garrett & Billy the Kid']"
3743,The Boy Next Door,"['Black Christmas', 'The Roommate', 'Hot Pursuit', 'The Darkest Hour', 'The Hills Have Eyes II', ""Gulliver's Travels""]"
3744,Trapeze,"['Fighting Tommy Riley', 'The Chambermaid on the Titanic', 'Charly', '10th & Wolf', 'The Land Girls', 'The Good Heart']"
3745,The Kids Are All Right,"['The Way Way Back', 'Eastern Promises', 'Focus', 'Remember Me', 'The Imaginarium of Doctor Parnassus', 'A Single Man']"
3746,They Live,"['Big Trouble in Little China', 'The Guard', 'Mad Max', 'An Education', 'Green Room', 'Beginners']"
3747,The Great Escape,"['The Bridge on the River Kwai', 'Barry Lyndon', 'Patton', 'Baahubali: The Beginning', 'My Fair Lady', 'The Abyss']"
3748,What the #$*! Do We (K)now!?,"['In the Cut', 'Blue Crush', 'Because I Said So', 'Diary of a Mad Black Woman', 'The Prince and Me', 'The Net']"
3749,The Last Exorcism Part II,"['Scary Movie 5', 'The Cold Light of Day', 'Alvin and the Chipmunks: The Road Chip', 'I Still Know What You Did Last Summer', 'Abandon', 'Marmaduke']"
3750,Boyhood,"['12 Years a Slave', 'The Girl with the Dragon Tattoo', 'Into the Wild', 'The Social Network', 'The Fault in Our Stars', 'The Help']"
3751,Scoop,"['Vicky Cristina Barcelona', 'Match Point', 'Small Time Crooks', 'Annie Hall', 'Whatever Works', 'The Curse of the Jade Scorpion']"
3752,Planet of the Apes,"['Planet of the Apes', 'Batman', 'Batman Returns', 'Beetlejuice', 'Frankenweenie', 'Mars Attacks!']"
3753,The Wash,"['American Ninja 2: The Confrontation', 'Decoys', 'Exeter', 'Motherhood', 'Juwanna Mann', 'Train']"
3754,3 Strikes,"[""The Devil's Tomb"", 'An Alan Smithee Film: Burn Hollywood Burn', 'Stan Helsing', 'The Lion of Judah', 'On the Line', 'Extreme Movie']"
3755,The Cooler,"['The Quiet American', 'Igby Goes Down', 'Ravenous', 'The Thirteenth Floor', 'Dressed to Kill', 'Run, Fatboy, Run']"
3756,The Misfits,"['A Room with a View', ""Mao's Last Dancer"", 'Mondays in the Sun', 'Moby Dick', '20,000 Leagues Under the Sea', '20,000 Leagues Under the Sea']"
3757,The Night Listener,"['Old Dogs', 'License to Wed', 'Flubber', 'House of D', ""World's Greatest Dad"", 'The Big Wedding']"
3758,The Jerky Boys,"['Def-Con 4', 'Hansel & Gretel Get Baked', 'The Virginity Hit', 'Chasing Papi', 'The Tooth Fairy', 'Whipped']"
3759,The Orphanage,"['Kung Fu Hustle', 'Hard Candy', 'The Gift', 'The Gift', 'An Education', 'Irreversible']"
3760,A Haunted House 2,"['Hoodwinked Too! Hood vs. Evil', 'Corky Romano', ""My Boss's Daughter"", 'The Vatican Tapes', 'Stealing Harvard', 'Twixt']"
3761,The Rules of Attraction,"['Lords of Dogtown', 'Elizabeth: The Golden Age', 'Boiler Room', 'The Man with the Golden Gun', 'American Splendor', 'Where the Heart Is']"
3762,Topaz,"['The Postman Always Rings Twice', ""Mozart's Sister"", 'Ghosts of Mississippi', 'Baby Boy', 'Family Plot', 'Renaissance Man']"
3763,Let's Go to Prison,"['Two Can Play That Game', 'From a Whisper to a Scream', 'Griff the Invisible', 'Grand Theft Parsons', 'Psycho Beach Party', 'The Wraith']"
3764,Four Rooms,"['The History Boys', 'To Die For', 'The Last Dragon', 'The Salton Sea', ""The Emperor's Club"", 'Spun']"
3765,Secretary,"['Capitalism: A Love Story', ""It's Kind of a Funny Story"", 'Ponyo', 'No Escape', 'This Is England', 'Super Size Me']"
3766,The Real Cancun,"['Steel', 'Daddy Day Camp', 'Shanghai Surprise', 'Witless Protection', 'Teen Wolf Too', 'Phat Girlz']"
3767,Talk Radio,"['Salvador', 'Wall Street', 'The Doors', 'W.', 'Wall Street: Money Never Sleeps', 'Any Given Sunday']"
3768,Waiting for Guffman,"['Welcome to the Dollhouse', 'Bella', '11:14', 'Roger & Me', 'Elling', 'Smoke Signals']"
3769,Love Stinks,"['The Good Night', 'From a Whisper to a Scream', 'Slow Burn', 'The Little Vampire', ""Let's Go to Prison"", 'Witchboard']"
3770,You Kill Me,"['Chéri', 'A Lonely Place to Die', 'Code 46', 'Thumbsucker', 'Dom Hemingway', 'Wild Grass']"
3771,Thumbsucker,"['Catch a Fire', 'Tristram Shandy: A Cock and Bull Story', 'A Lonely Place to Die', 'Imagine Me & You', 'Fido', 'Defendor']"
3772,Red State,"['Dead Snow', ""Don't Be Afraid of the Dark"", 'As Above, So Below', 'Unfriended', 'Super', 'Into the Storm']"
3773,Mirrormask,"[""Dave Chappelle's Block Party"", 'Spun', 'Being Julia', 'Wonderland', 'An Ideal Husband', 'The End of the Affair']"
3774,Samsara,"['The Wave', 'The Lunchbox', '4 Months, 3 Weeks and 2 Days', 'Control', 'Elite Squad', 'Joyeux Noel']"
3775,The Barbarians,"['The Tooth Fairy', ""No Man's Land: The Rise of Reeker"", 'The Californians', 'Exeter', 'Motherhood', 'Excessive Force']"
3776,The Art of Getting By,"['Obvious Child', 'Dom Hemingway', 'Code 46', 'Bad Words', ""April Fool's Day"", 'Birthday Girl']"
3777,Zipper,"['Tidal Wave', 'L!fe Happens', 'The Cry of the Owl', 'I Hope They Serve Beer in Hell', 'Desert Dancer', 'Invaders from Mars']"
3778,Poolhall Junkies,"['Yes', 'The Long Riders', 'Tumbleweeds', 'A Funny Thing Happened on the Way to the Forum', 'Human Traffic', 'L.I.E.']"
3779,The Loss of Sexual Innocence,"['The Players Club', 'Bogus', 'Molly', 'Viy', 'Addicted', 'Bright Lights, Big City']"
3780,Holy Motors,"['Beginners', 'Dope', 'Big Trouble in Little China', 'The Guard', 'Capitalism: A Love Story', 'Four Lions']"
3781,Joe,"['Bad Lieutenant: Port of Call New Orleans', 'The Frozen Ground', 'City of Angels', 'The Weather Man', 'The Family Man', 'Leaving Las Vegas']"
3782,Shooting Fish,"['Subway', 'Shade', 'Kung Fu Killer', 'Roar', 'Brooklyn Rules', 'The Greatest']"
3783,Prison,"['The Adventures of Ford Fairlane', '5 Days of War', '12 Rounds', 'A Nightmare on Elm Street 4: The Dream Master', 'Mindhunters', 'The Covenant']"
3784,Psycho Beach Party,"['The Business of Strangers', ""Let's Go to Prison"", 'The Eclipse', 'Dirty Work', 'Grand Theft Parsons', 'High Heels and Low Lifes']"
3785,The Big Tease,"['High Heels and Low Lifes', 'Desert Blue', 'Safe Men', 'Grand Theft Parsons', 'Dead Like Me: Life After Death', 'Hurricane Streets']"
3786,Trust,"['Sleep Tight', 'Housebound', 'Exam', 'Ip Man 3', 'The Last Station', 'Micmacs']"
3787,An Everlasting Piece,"['Young Sherlock Holmes', 'Diner', 'Envy', 'Disclosure', 'Sphere', 'Wag the Dog']"
3788,Among Giants,"['Tanner Hall', 'Sugar Town', 'Jekyll and Hyde... Together Again', 'Circle', 'Freedom', 'The Christmas Candle']"
3789,Adore,"['Bottle Shock', 'Endless Love', 'Wish I Was Here', ""Cirque du Freak: The Vampire's Assistant"", 'A Man Apart', 'A Home at the End of the World']"
3790,The Velocity of Gary,"['Harvard Man', 'The Legend of the Lone Ranger', 'Thr3e', 'Fear Clinic', 'Shadow Conspiracy', 'Green Street 3: Never Back Down']"
3791,Mondays in the Sun,"[""Mao's Last Dancer"", 'Beyond the Mat', 'The Black Stallion', 'Tupac: Resurrection', 'The Cure', 'The Ultimate Gift']"
3792,Stake Land,"['Run, Fatboy, Run', 'Pontypool', 'The Skeleton Twins', 'Sunshine Cleaning', 'Automata', 'Celeste & Jesse Forever']"
3793,The Last Time I Committed Suicide,"[""Bill & Ted's Bogus Journey"", 'Chain Reaction', 'The Watcher', ""River's Edge"", 'Hardball', 'My Own Private Idaho']"
3794,Futuro Beach,"['A Perfect Plan', 'The Girl on the Train', 'Circumstance', 'Snow Flower and the Secret Fan', 'Roar', 'Lucky Break']"
3795,Another Happy Day,"['Roll Bounce', 'Crazy in Alabama', 'Womb', '1911', 'Firestarter', 'Veronika Decides to Die']"
3796,A Lonely Place to Die,"['Chéri', 'Thumbsucker', 'Keanu', 'Code 46', 'The Joneses', 'Good Kill']"
3797,Nothing,"['Love Me Tender', 'Bran Nue Dae', 'The I Inside', 'Gunless', 'Gracie', 'Machine Gun McCain']"
3798,The Geographer Drank His Globe Away,"['Guiana 1838', 'Namastey London', 'Earth', 'The Work and the Glory', 'Crop Circles: Quest for Truth', 'Pandaemonium']"
3799,1776,"['Lion of the Desert', 'The Wailing', 'Tora! Tora! Tora!', 'The Fall of the Roman Empire', 'Lage Raho Munna Bhai', 'Oliver!']"
